Date,USDRUR,CPI,HPI,UR,IRS,GDP,DR
2020-01-01,61.9057,0.024,0.035384629,0.04401779140111552,-0.009599999999999997,0.0086754401259942,
2020-02-01,63.1385,0.023,0.03167997,0.043075682594837385,-0.005599999999999994,0.00839479,
2020-03-01,66.3274,0.025,0.03011,0.04487513443450725,-0.003599999999999992,0.002047323,
2020-04-01,76.4074,0.031,0.033619687,0.056178004764374116,-0.012999999999999998,-0.013912834,
2020-05-01,72.7263,0.03,0.039943425,0.06254755894264943,-0.00979999999999999,-0.032341125,
2020-06-01,69.7114,0.032,0.04591,0.06443205292538268,-0.0023999999999999994,-0.045954315,
2020-07-01,70.4413,0.034,0.048517081,0.0651384525573779,-0.01150000000000001,-0.047848341,
2020-08-01,73.4261,0.036000000000000004,0.04873367,0.06759028025675662,-0.009500000000000001,-0.040968618,
2020-09-01,73.8039,0.037000000000000005,0.048162,0.06629214078208608,-0.006599999999999988,-0.030352115,
2020-10-01,78.7847,0.04,0.048505197,0.06414792360154987,-0.010200000000000008,-0.021514073,
2020-11-01,80.5749,0.044000000000000004,0.051487993,0.06155693066557461,-0.006399999999999996,-0.019025662,
2020-12-01,76.1999,0.049,0.058547,0.05851285420859089,-0.005299999999999999,-0.027987051,
2021-01-01,73.8757,0.052000000000000005,0.10605733333333334,0.05431982768648299,-0.008800000000000002,-0.031,
2021-02-01,75.5053,0.057,0.12077866666666667,0.053376389302298495,-0.012200000000000003,-0.023,
2021-03-01,74.0448,0.058,0.1355,0.05155866509496577,-0.0095,-0.015,
2021-04-01,75.6373,0.055,0.10533333333333333,0.052,-0.0097,-0.007,
2021-05-01,74.8451,0.06,0.07516666666666666,0.056,-0.008934427491308496,0.020333333333333335,
2021-06-01,73.2965,0.059,0.045,0.06,-0.006919750357844008,0.04766666666666667,
2021-07-01,72.8,0.058,0.045,0.064,-0.009993720649690167,0.075,
2021-08-01,72.89999999999999,0.05533333333333334,0.045,0.06466666666666666,-0.009135785092445878,0.062,
2021-09-01,73.0,0.05266666666666667,0.045,0.06533333333333334,-0.007613371119795856,0.049,
2021-10-01,73.1,0.05,0.041999999999999996,0.066,-0.009454363480991419,0.036,
2021-11-01,73.23333333333333,0.04633333333333334,0.039,0.065,-0.008962732209975281,0.034666666666666665,
2021-12-01,73.36666666666666,0.042666666666666665,0.036,0.064,-0.008109424735503037,0.03333333333333333,
2022-01-01,73.5,0.039,0.036,0.063,-0.009504796383644067,0.032,
2022-02-01,73.66666666666667,0.03866666666666667,0.036,0.062,-0.00881850731730778,0.03266666666666667,
2022-03-01,73.83333333333333,0.03833333333333333,0.036,0.061,-0.00822394941501231,0.03333333333333333,
2022-04-01,74.0,0.038,0.024,0.06,-0.009517799545894934,0.034,
2022-05-01,74.13333333333334,0.037,0.012,0.059,-0.008933955413828439,0.036000000000000004,
2022-06-01,74.26666666666667,0.036000000000000004,0.0,0.058,-0.008279574488830724,0.038,
2022-07-01,74.4,0.035,-0.016666666666666666,0.057,-0.00938834266153488,0.04,
2022-08-01,74.43333333333334,0.034,-0.03333333333333333,0.05633333333333333,-0.009074365618362858,0.043333333333333335,
2022-09-01,74.46666666666667,0.033,-0.05,0.05566666666666667,-0.00847703759364213,0.04666666666666667,
2022-10-01,74.5,0.032,-0.060000000000000005,0.055,-0.00925149197329693,0.05,
2022-11-01,74.5,0.031,-0.07,0.054,-0.009094899645297715,0.050666666666666665,
2022-12-01,74.5,0.030000000000000002,-0.08,0.053,-0.008676987091553942,0.051333333333333335,
